id,name,dateOfBirth,positionName,positionShortName,portraitUrl,currentMarketValue,Historique_Clubs_Stats,taille,Nationalité 1,Nationalité 2
63265,Igor Lewczuk,1985-05-30,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/63265-1448377268.jpg,0.0,"FC Girondins Bordeaux (2016-2017): 0B, 3PD | FC Girondins Bordeaux (2017-2018): 3B, 1PD | FC Girondins Bordeaux (2018-2019): 4B, 0PD",1.89,Pologne,
63290,Víctor Sánchez,1987-09-08,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/63290-1447228874.jpg,0.0,"RCD Espanyol Barcelona (2014-2015): 5B, 10PD | RCD Espanyol Barcelona (2015-2016): 1B, 14PD | RCD Espanyol Barcelona (2016-2017): 2B, 1PD | RCD Espanyol Barcelona (2017-2018): 1B, 8PD | RCD Espanyol Barcelona (2018-2019): 13B, 5PD | RCD Espanyol Barcelona (2019-2020): 8B, 10PD",1.74,Espagne,
63342,Leroy Fer,1990-01-05,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/63342-1694440136.PNG,0.0,"Swansea City (2015-2016): 2B, 4PD | Swansea City (2016-2017): 9B, 7PD | Swansea City (2017-2018): 6B, 6PD",1.88,Pays-Bas,Curaçao
63463,Daniel Wass,1989-05-31,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/63463-1668184126.jpg,650000.0,"Celta de Vigo (2015-2016): 6B, 19PD | Celta de Vigo (2016-2017): 10B, 31PD | Celta de Vigo (2017-2018): 3B, 12PD | Valencia CF (2018-2019): 8B, 12PD | Valencia CF (2019-2020): 5B, 3PD | Valencia CF (2020-2021): 0B, 14PD | Atlético de Madrid (2021-2022): 1B, 0PD | Valencia CF (2021-2022): 0B, 11PD | Thonon Évian Grand Genève FC (2014-2015): 5B, 6PD",1.81,Danemark,
63494,Étienne Capoue,1988-07-11,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/63494-1455120745.jpg,0.0,"Tottenham Hotspur (2014-2015): 4B, 5PD | Watford FC (2015-2016): 0B, 11PD | Watford FC (2016-2017): 1B, 10PD | Watford FC (2017-2018): 5B, 7PD | Watford FC (2018-2019): 2B, 2PD | Watford FC (2019-2020): 0B, 5PD | Villarreal CF (2020-2021): 2B, 12PD | Villarreal CF (2021-2022): 4B, 13PD | Villarreal CF (2022-2023): 14B, 10PD | Villarreal CF (2023-2024): 20B, 8PD",1.89,France,Guadeloupe
63531,Kwadwo Asamoah,1988-12-09,Left Midfield,LM,https://img.a.transfermarkt.technology/portrait/big/63531-1455553903.jpg,0.0,"Inter Milan (2018-2019): 2B, 4PD | Inter Milan (2019-2020): 1B, 2PD | Cagliari Calcio (2020-2021): 8B, 0PD",1.73,Ghana,
63689,Fran Rico,1987-08-03,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/63689-1447230894.jpg,0.0,"Granada CF (2014-2015): 3B, 2PD | Granada CF (2015-2016): 14B, 8PD | SD Eibar (2016-2017): 6B, 4PD | Granada CF (2016-2017): 0B, 0PD | SD Eibar (2017-2018): 0B, 0PD",1.78,Espagne,
63706,Mikel Saizar,1983-01-18,Goalkeeper,GK,,0.0,"Córdoba CF (2014-2015): 0B, 0PD",1.9,Espagne,
63723,David Lombán,1987-06-05,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/63723-1447231011.jpg,0.0,"Elche CF (2014-2015): 1B, 1PD | Granada CF (2015-2016): 2B, 0PD | Granada CF (2016-2017): 1B, 1PD | SD Eibar (2017-2018): 2B, 2PD",1.85,Espagne,
63821,Aron Gunnarsson,1989-04-22,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/63821-1738110719.jpg,250000.0,"Cardiff City (2018-2019): 1B, 9PD",1.77,Islande,
63824,Libor Kozák,1989-05-30,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/63824-1538488890.jpg,0.0,"Aston Villa (2014-2015): 0B, 0PD | Aston Villa (2015-2016): 2B, 1PD",1.93,Tchéquie,
63833,Jiloan Hamad,1990-11-06,Attacking Midfield,AM,https://img.a.transfermarkt.technology/portrait/big/63833-1726871382.jpg,75000.0,"TSG 1899 Hoffenheim (2014-2015): 1B, 0PD | TSG 1899 Hoffenheim (2015-2016): 3B, 4PD",1.74,Irak,Suède
63846,Anele Ngcongca,1987-10-21,Right-Back,RB,https://img.a.transfermarkt.technology/portrait/big/63846-1606122520.jpg,0.0,"ESTAC Troyes (2015-2016): 2B, 1PD",1.82,Afrique du Sud,
64000,Tomáš Vaclík,1989-03-29,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/64000-1473154895.jpg,400000.0,"Sevilla FC (2018-2019): 0B, 1PD | Sevilla FC (2019-2020): 0B, 1PD | Sevilla FC (2020-2021): 0B, 0PD",1.89,Tchéquie,
64229,Mihai Roman,1984-10-16,Right Winger,RW,https://img.a.transfermarkt.technology/portrait/big/64229-1650707090.png,0.0,"FC Toulouse (2014-2015): 0B, 0PD | FC Toulouse (2015-2016): 0B, 0PD",1.74,Roumanie,
64308,Brown Ideye,1988-10-10,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/64308-1488278287.jpg,0.0,"West Bromwich Albion (2014-2015): 12B, 9PD | West Bromwich Albion (2015-2016): 0B, 1PD | Málaga CF (2017-2018): 5B, 4PD",1.81,Nigeria,
64357,Carlos Ramos,1986-12-01,,,,0.0,"Atlético de Madrid (2014-2015): 1B, 0PD",1.82,Pays-Bas,
64363,Dani Castellano,1987-11-02,Left-Back,LB,https://img.a.transfermarkt.technology/portrait/big/64363-1447321403.jpg,0.0,"UD Las Palmas (2015-2016): 5B, 4PD | UD Las Palmas (2016-2017): 2B, 5PD | UD Las Palmas (2017-2018): 1B, 4PD",1.79,Espagne,
